,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
132,NA,346,2,Bangladesh,,16-08-2011,field,Bangladesh,Harare Sports Club,Zimbabwe,Bangladesh,49.2,239,2,0,0,4,6,245,3,2,2,1,2,0,10
133,NA,347,1,Zimbabwe,Bulawayo,19-08-2011,field,Bangladesh,Queens Sports Club,Zimbabwe,Bangladesh,48.2,185,8,0,0,6,14,199,6,0,2,0,1,0,10
134,NA,347,2,Bangladesh,Bulawayo,19-08-2011,field,Bangladesh,Queens Sports Club,Zimbabwe,Bangladesh,36.4,193,9,0,0,1,10,203,3,0,0,1,0,0,4
135,NA,348,1,Bangladesh,Bulawayo,21-08-2011,field,Zimbabwe,Queens Sports Club,Zimbabwe,Bangladesh,49.6,239,11,0,0,3,14,253,5,0,1,0,0,0,6
136,NA,348,2,Zimbabwe,Bulawayo,21-08-2011,field,Zimbabwe,Queens Sports Club,Zimbabwe,Bangladesh,38.2,155,4,0,0,1,5,160,6,0,0,2,1,0,9
137,NA,349,1,Pakistan,Bulawayo,8/9/2011,bat,Pakistan,Queens Sports Club,Zimbabwe,Pakistan,49.6,241,5,0,0,1,6,247,5,0,0,1,1,0,7
138,NA,349,2,Zimbabwe,Bulawayo,8/9/2011,bat,Pakistan,Queens Sports Club,Zimbabwe,Pakistan,49.6,235,5,1,0,1,7,242,3,1,1,1,1,0,7
139,NA,350,1,Zimbabwe,,11/9/2011,bat,Zimbabwe,Harare Sports Club,Zimbabwe,Pakistan,49.6,208,7,0,0,10,17,225,3,0,1,0,2,0,6
140,NA,350,2,Pakistan,,11/9/2011,bat,Zimbabwe,Harare Sports Club,Zimbabwe,Pakistan,42.1,214,11,0,0,3,14,228,0,0,0,0,0,0,0
141,NA,351,1,Pakistan,,14-09-2011,field,Zimbabwe,Harare Sports Club,Zimbabwe,Pakistan,49.8,259,6,3,0,2,11,270,2,2,0,0,0,1,5
142,NA,351,2,Zimbabwe,,14-09-2011,field,Zimbabwe,Harare Sports Club,Zimbabwe,Pakistan,49.6,237,5,0,0,0,5,242,6,0,3,0,0,0,9
143,NA,352,1,Ireland,Dublin,19-09-2011,field,Canada,Clontarf Cricket Club Ground,Ireland,Canada,49.6,322,2,0,1,3,6,328,4,2,0,0,0,0,6
144,NA,352,2,Canada,Dublin,19-09-2011,field,Canada,Clontarf Cricket Club Ground,Ireland,Canada,48.4,178,8,0,7,2,17,195,8,0,2,0,0,0,10
145,NA,353,1,Ireland,Dublin,20-09-2011,bat,Ireland,Clontarf Cricket Club Ground,Ireland,Canada,49.6,238,5,2,0,4,11,249,4,0,1,1,1,0,7
146,NA,353,2,Canada,Dublin,20-09-2011,bat,Ireland,Clontarf Cricket Club Ground,Ireland,Canada,46.3,174,11,0,0,8,19,193,6,0,1,0,3,0,10
147,NA,354,1,Zimbabwe,,20-10-2011,bat,Zimbabwe,Harare Sports Club,Zimbabwe,New Zealand,49.6,228,1,0,0,2,3,231,5,0,1,0,0,0,6
148,NA,354,2,New Zealand,,20-10-2011,bat,Zimbabwe,Harare Sports Club,Zimbabwe,New Zealand,43.3,221,7,2,0,2,11,232,1,0,0,0,0,0,1
149,NA,355,1,Zimbabwe,,22-10-2011,field,New Zealand,Harare Sports Club,Zimbabwe,New Zealand,49.6,242,13,1,0,3,17,259,5,0,3,0,0,0,8
150,NA,355,2,New Zealand,,22-10-2011,field,New Zealand,Harare Sports Club,Zimbabwe,New Zealand,48.2,250,8,0,0,3,11,261,4,0,1,0,1,0,6
151,NA,356,1,New Zealand,Bulawayo,25-10-2011,bat,New Zealand,Queens Sports Club,Zimbabwe,New Zealand,49.7,305,15,2,0,6,23,328,2,1,1,0,1,0,5
152,NA,356,2,Zimbabwe,Bulawayo,25-10-2011,bat,New Zealand,Queens Sports Club,Zimbabwe,New Zealand,49.5,319,4,1,0,5,10,329,5,0,4,0,0,0,9
153,NA,357,1,Sri Lanka,,11/11/2011,bat,Sri Lanka,Dubai International Cricket Stadium,Pakistan,Sri Lanka,40.3,112,13,1,0,5,19,131,4,0,2,1,1,2,10
154,NA,357,2,Pakistan,,11/11/2011,bat,Sri Lanka,Dubai International Cricket Stadium,Pakistan,Sri Lanka,21.5,115,7,4,0,6,17,132,1,0,0,1,0,0,2
155,NA,358,1,Sri Lanka,,14-11-2011,bat,Sri Lanka,Dubai International Cricket Stadium,Pakistan,Sri Lanka,49.7,210,16,1,0,8,25,235,2,1,3,0,0,1,7
156,NA,358,2,Pakistan,,14-11-2011,bat,Sri Lanka,Dubai International Cricket Stadium,Pakistan,Sri Lanka,46.3,197,7,0,1,5,13,210,3,0,0,4,3,0,10
157,NA,359,1,Pakistan,,18-11-2011,bat,Pakistan,Dubai International Cricket Stadium,Pakistan,Sri Lanka,49.6,243,9,1,0,4,14,257,3,0,3,0,2,0,8
158,NA,359,2,Sri Lanka,,18-11-2011,bat,Pakistan,Dubai International Cricket Stadium,Pakistan,Sri Lanka,48.5,221,10,0,0,5,15,236,2,0,4,2,1,1,10
159,NA,360,1,Pakistan,,20-11-2011,bat,Pakistan,Sharjah Cricket Stadium,Pakistan,Sri Lanka,49.4,190,8,0,0,2,10,200,4,0,1,4,1,0,10
160,NA,360,2,Sri Lanka,,20-11-2011,bat,Pakistan,Sharjah Cricket Stadium,Pakistan,Sri Lanka,45.2,164,6,1,0,3,10,174,5,1,2,2,0,0,10
161,NA,361,1,Sri Lanka,Abu Dhabi,23-11-2011,bat,Sri Lanka,Sheikh Zayed Stadium,Pakistan,Sri Lanka,49.6,201,11,0,0,6,17,218,6,0,2,0,0,1,9
162,NA,361,2,Pakistan,Abu Dhabi,23-11-2011,bat,Sri Lanka,Sheikh Zayed Stadium,Pakistan,Sri Lanka,47.2,206,8,0,2,3,13,219,4,0,0,3,0,0,7
163,NA,362,1,England,Abu Dhabi,13-02-2012,bat,England,Sheikh Zayed Stadium,England,Pakistan,49.7,243,5,1,0,11,17,260,1,1,3,1,0,1,7
164,NA,362,2,Pakistan,Abu Dhabi,13-02-2012,bat,England,Sheikh Zayed Stadium,England,Pakistan,34.6,116,7,5,0,2,14,130,5,0,0,4,0,1,10
165,NA,363,1,England,Abu Dhabi,15-02-2012,bat,England,Sheikh Zayed Stadium,England,Pakistan,49.6,234,10,0,1,5,16,250,2,1,0,1,0,0,4
166,NA,363,2,Pakistan,Abu Dhabi,15-02-2012,bat,England,Sheikh Zayed Stadium,England,Pakistan,48.6,209,8,1,1,11,21,230,3,0,4,2,1,0,10
167,NA,364,1,Pakistan,,18-02-2012,bat,Pakistan,Dubai International Cricket Stadium,England,Pakistan,49.6,208,2,1,0,11,14,222,4,0,3,1,2,0,10
168,NA,364,2,England,,18-02-2012,bat,Pakistan,Dubai International Cricket Stadium,England,Pakistan,37.2,215,4,4,0,3,11,226,1,0,0,0,0,0,1
169,NA,365,1,Pakistan,,21-02-2012,bat,Pakistan,Dubai International Cricket Stadium,England,Pakistan,49.6,229,3,0,1,4,8,237,6,0,2,1,1,0,10
170,NA,365,2,England,,21-02-2012,bat,Pakistan,Dubai International Cricket Stadium,England,Pakistan,49.2,228,10,0,0,3,13,241,3,0,0,2,1,0,6
171,NA,366,1,West Indies,Mirpur,13-10-2011,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,West Indies,49.6,288,8,0,0,2,10,298,3,0,1,0,0,0,5
172,NA,366,2,Bangladesh,Mirpur,13-10-2011,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,West Indies,49.6,242,9,0,0,7,16,258,6,0,1,0,0,0,7
173,NA,367,1,West Indies,Chittagong,18-10-2011,field,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,West Indies,21.7,53,5,0,0,3,8,61,3,2,3,2,0,0,10
174,NA,367,2,Bangladesh,Chittagong,18-10-2011,field,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,West Indies,19.6,57,0,0,0,5,5,62,1,0,1,0,0,0,2
175,NA,368,1,England,Southampton,16-06-2012,field,West Indies,The Rose Bowl,England,West Indies,49.6,278,9,1,0,0,10,288,4,0,1,0,1,0,6
176,NA,368,2,West Indies,Southampton,16-06-2012,field,West Indies,The Rose Bowl,England,West Indies,33.4,169,3,0,0,0,3,172,7,0,1,2,0,0,10
177,NA,369,1,West Indies,London,19-06-2012,field,England,Kennington Oval,England,West Indies,49.6,229,5,1,0,3,9,238,6,0,0,1,2,0,9
178,NA,369,2,England,London,19-06-2012,field,England,Kennington Oval,England,West Indies,44.6,227,8,1,0,3,12,239,2,0,0,0,0,0,2
179,NA,370,1,Ireland,Belfast,23-06-2012,field,Australia,"Civil Service Cricket Club, Stormont",Ireland,Australia,10.4,35,1,0,0,0,1,36,1,0,2,0,0,0,3
180,NA,371,1,England,London,29-06-2012,field,Australia,Lord's,England,Australia,49.6,264,4,0,0,4,8,272,3,0,1,1,0,0,5
181,NA,371,2,Australia,London,29-06-2012,field,Australia,Lord's,England,Australia,49.6,247,7,0,0,3,10,257,4,0,2,2,1,0,9
182,NA,372,1,Australia,London,1/7/2012,bat,Australia,Kennington Oval,England,Australia,49.6,226,8,2,0,15,25,251,5,0,1,0,1,0,7
183,NA,372,2,England,London,1/7/2012,bat,Australia,Kennington Oval,England,Australia,45.4,235,9,4,0,4,17,252,0,0,2,1,1,0,4
184,NA,373,1,Australia,Chester-le-Street,7/7/2012,field,England,Riverside Ground,England,Australia,49.6,193,4,1,0,2,7,200,4,0,3,2,0,0,9
185,NA,373,2,England,Chester-le-Street,7/7/2012,field,England,Riverside Ground,England,Australia,47.5,195,4,2,0,0,6,201,1,0,1,0,0,0,2
186,NA,374,1,Australia,Manchester,10/7/2012,field,England,Old Trafford,England,Australia,31.6,142,2,0,0,1,3,145,3,0,0,1,2,1,7
187,NA,374,2,England,Manchester,10/7/2012,field,England,Old Trafford,England,Australia,27.1,133,4,0,0,1,5,138,2,0,1,0,0,0,3
188,NA,375,1,England,Cardiff,24-08-2012,field,South Africa,Sophia Gardens,England,South Africa,5.3,36,1,0,0,0,1,37,0,0,0,0,0,0,0
189,NA,376,1,South Africa,Southampton,28-08-2012,bat,South Africa,The Rose Bowl,England,South Africa,49.6,281,1,0,1,4,6,287,2,0,2,0,1,0,5
190,NA,376,2,England,Southampton,28-08-2012,bat,South Africa,The Rose Bowl,England,South Africa,40.4,196,1,0,3,7,11,207,7,0,2,0,1,0,10
191,NA,377,1,South Africa,London,31-08-2012,bat,South Africa,Kennington Oval,England,South Africa,46.4,209,1,0,0,1,2,211,3,0,6,1,0,0,10
192,NA,377,2,England,London,31-08-2012,bat,South Africa,Kennington Oval,England,South Africa,47.6,204,6,1,0,1,8,212,3,1,0,1,1,0,6
193,NA,378,1,South Africa,London,2/9/2012,field,England,Lord's,England,South Africa,49.6,207,6,0,0,7,13,220,2,0,2,0,1,3,8
194,NA,378,2,England,London,2/9/2012,field,England,Lord's,England,South Africa,46.5,201,11,2,3,7,23,224,2,0,0,2,0,0,4
195,NA,379,1,England,Nottingham,5/9/2012,bat,England,Trent Bridge,England,South Africa,45.2,173,3,3,0,3,9,182,7,1,1,1,0,0,10
196,NA,379,2,South Africa,Nottingham,5/9/2012,bat,England,Trent Bridge,England,South Africa,34.3,177,8,0,0,1,9,186,3,0,0,0,0,0,3
197,NA,380,1,Pakistan,Mirpur,11/3/2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,49.6,254,5,1,0,2,8,262,4,1,2,0,1,0,8
198,NA,380,2,Bangladesh,Mirpur,11/3/2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,48.1,234,5,0,0,2,7,241,1,0,7,2,0,0,10
199,NA,381,1,India,Mirpur,13-03-2012,field,Sri Lanka,Shere Bangla National Stadium,India,Sri Lanka,49.7,290,7,0,0,7,14,304,3,0,0,0,0,0,3
200,NA,381,2,Sri Lanka,Mirpur,13-03-2012,field,Sri Lanka,Shere Bangla National Stadium,India,Sri Lanka,45.1,246,6,0,0,2,8,254,6,0,3,1,0,0,10
201,NA,382,1,Sri Lanka,Mirpur,15-03-2012,bat,Sri Lanka,Shere Bangla National Stadium,Pakistan,Sri Lanka,45.4,179,4,0,0,5,9,188,7,0,3,0,0,0,10
202,NA,382,2,Pakistan,Mirpur,15-03-2012,bat,Sri Lanka,Shere Bangla National Stadium,Pakistan,Sri Lanka,39.5,184,2,2,0,1,5,189,4,0,0,0,0,0,4
203,NA,383,1,India,Mirpur,16-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,49.7,271,10,2,0,6,18,289,2,0,2,0,1,0,5
204,NA,383,2,Bangladesh,Mirpur,16-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,49.2,281,3,2,0,7,12,293,4,0,0,0,0,1,5
205,NA,384,1,Pakistan,Mirpur,18-03-2012,bat,Pakistan,Shere Bangla National Stadium,India,Pakistan,49.7,314,10,1,1,3,15,329,5,0,0,1,0,0,6
206,NA,384,2,India,Mirpur,18-03-2012,bat,Pakistan,Shere Bangla National Stadium,India,Pakistan,47.6,319,4,1,5,1,11,330,3,0,0,1,0,0,4
207,NA,385,1,Sri Lanka,Mirpur,20-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Sri Lanka,49.5,221,8,0,0,3,11,232,4,0,3,1,1,1,10
208,NA,385,2,Bangladesh,Mirpur,20-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Sri Lanka,37.1,192,7,0,0,13,20,212,2,0,2,1,0,0,5
209,NA,386,1,Pakistan,Mirpur,22-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,49.8,218,4,4,2,8,18,236,5,1,1,1,1,0,9
210,NA,386,2,Bangladesh,Mirpur,22-03-2012,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,49.6,223,4,2,0,5,11,234,6,0,2,0,0,0,8
211,NA,387,1,West Indies,Cuttack,29-11-2011,field,India,Barabati Stadium,India,West Indies,49.6,201,6,0,0,4,10,211,2,1,5,0,1,0,9
212,NA,387,2,India,Cuttack,29-11-2011,field,India,Barabati Stadium,India,West Indies,48.5,190,16,4,0,3,23,213,5,0,3,0,1,0,9
213,NA,388,1,West Indies,Visakhapatnam,2/12/2011,field,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,49.8,255,7,1,0,6,14,269,6,0,1,1,1,0,9
214,NA,388,2,India,Visakhapatnam,2/12/2011,field,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,48.2,256,10,0,0,4,14,270,5,0,0,0,0,0,5
215,NA,389,1,West Indies,Ahmedabad,5/12/2011,field,India,"Sardar Patel Stadium, Motera",India,West Indies,49.6,253,5,0,0,2,7,260,4,0,1,0,0,0,6
216,NA,389,2,India,Ahmedabad,5/12/2011,field,India,"Sardar Patel Stadium, Motera",India,West Indies,46.5,235,3,3,1,2,9,244,2,0,2,4,2,0,10
217,NA,390,1,India,Indore,8/12/2011,bat,India,Holkar Cricket Stadium,India,West Indies,49.6,404,13,0,0,1,14,418,2,0,1,0,2,0,5
218,NA,390,2,West Indies,Indore,8/12/2011,bat,India,Holkar Cricket Stadium,India,West Indies,49.2,261,2,0,0,2,4,265,4,1,3,0,1,1,10
219,NA,391,1,India,Chennai,11/12/2011,bat,India,"MA Chidambaram Stadium, Chepauk",India,West Indies,49.6,256,3,2,0,6,11,267,1,0,2,2,1,0,7
220,NA,391,2,West Indies,Chennai,11/12/2011,bat,India,"MA Chidambaram Stadium, Chepauk",India,West Indies,44.1,220,11,0,0,2,13,233,3,0,3,3,1,0,10
221,NA,392,1,Bangladesh,Mirpur,1/12/2011,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,30.3,79,8,0,2,2,12,91,8,0,0,2,0,0,10
222,NA,392,2,Pakistan,Mirpur,1/12/2011,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,25.4,85,4,0,0,4,8,93,3,0,2,0,0,0,5
223,NA,393,1,Pakistan,Mirpur,3/12/2011,bat,Pakistan,Shere Bangla National Stadium,Bangladesh,Pakistan,49.6,240,17,0,0,5,22,262,6,0,0,1,0,0,7
224,NA,393,2,Bangladesh,Mirpur,3/12/2011,bat,Pakistan,Shere Bangla National Stadium,Bangladesh,Pakistan,49.6,172,8,1,0,5,14,186,4,1,1,1,0,0,7
225,NA,394,1,Pakistan,Chittagong,6/12/2011,bat,Pakistan,Zahur Ahmed Chowdhury Stadium,Bangladesh,Pakistan,46.1,161,2,1,12,1,16,177,6,1,1,1,0,1,10
226,NA,394,2,Bangladesh,Chittagong,6/12/2011,bat,Pakistan,Zahur Ahmed Chowdhury Stadium,Bangladesh,Pakistan,37.6,107,5,0,4,3,12,119,2,1,3,4,0,0,10
227,NA,395,1,Australia,St Vincent,16-03-2012,bat,Australia,"Arnos Vale Ground, Kingstown",West Indies,Australia,49.6,190,5,0,3,6,14,204,6,0,0,1,0,1,8
228,NA,395,2,West Indies,St Vincent,16-03-2012,bat,Australia,"Arnos Vale Ground, Kingstown",West Indies,Australia,32.3,133,3,0,4,0,7,140,6,0,1,1,1,1,10
229,NA,396,1,Australia,St Vincent,18-03-2012,field,West Indies,"Arnos Vale Ground, Kingstown",West Indies,Australia,39.6,146,2,1,2,3,8,154,5,0,2,0,1,1,9
230,NA,396,2,West Indies,St Vincent,18-03-2012,field,West Indies,"Arnos Vale Ground, Kingstown",West Indies,Australia,38.2,157,2,0,4,0,6,163,0,0,2,1,2,0,5
231,NA,397,1,Australia,St Vincent,20-03-2012,bat,Australia,"Arnos Vale Ground, Kingstown",West Indies,Australia,49.5,206,3,1,4,6,14,220,3,0,3,1,2,1,10
232,NA,397,2,West Indies,St Vincent,20-03-2012,bat,Australia,"Arnos Vale Ground, Kingstown",West Indies,Australia,49.4,207,6,1,1,5,13,220,7,0,0,1,1,1,10
233,NA,398,1,West Indies,St Lucia,23-03-2012,field,Australia,"Beausejour Stadium, Gros Islet",West Indies,Australia,49.6,281,10,0,0,3,13,294,6,0,0,1,0,0,7
234,NA,398,2,Australia,St Lucia,23-03-2012,field,Australia,"Beausejour Stadium, Gros Islet",West Indies,Australia,46.4,238,11,2,0,1,14,252,9,0,1,0,0,0,10
235,NA,399,1,Australia,St Lucia,25-03-2012,field,West Indies,"Beausejour Stadium, Gros Islet",West Indies,Australia,49.6,271,7,0,2,1,10,281,8,0,1,0,0,0,9
236,NA,399,2,West Indies,St Lucia,25-03-2012,field,West Indies,"Beausejour Stadium, Gros Islet",West Indies,Australia,47.2,244,6,0,0,1,7,251,8,1,0,1,0,0,10
237,NA,400,1,Ireland,,18-02-2012,bat,Ireland,Mombasa Sports Club Ground,Kenya,Ireland,47.3,195,4,0,0,1,5,200,7,1,2,0,0,0,10
238,NA,400,2,Kenya,,18-02-2012,bat,Ireland,Mombasa Sports Club Ground,Kenya,Ireland,42.6,176,12,8,0,5,25,201,1,0,1,0,1,0,3
239,NA,401,1,Afghanistan,,29-03-2012,bat,Afghanistan,Sharjah Cricket Stadium,Afghanistan,Netherlands,39.2,133,14,0,0,6,20,153,6,0,1,1,1,1,10
240,NA,401,2,Netherlands,,29-03-2012,bat,Afghanistan,Sharjah Cricket Stadium,Afghanistan,Netherlands,26.2,148,8,0,0,0,8,156,0,0,0,1,0,0,1
241,NA,402,1,Afghanistan,,10/2/2012,bat,Afghanistan,Sharjah Cricket Stadium,Afghanistan,Pakistan,48.3,182,4,0,4,5,13,195,3,1,2,3,1,0,10
242,NA,402,2,Pakistan,,10/2/2012,bat,Afghanistan,Sharjah Cricket Stadium,Afghanistan,Pakistan,37.1,190,5,2,0,1,8,198,0,1,1,1,0,0,3
243,NA,403,1,Ireland,Dublin,5/7/2012,field,Afghanistan,Clontarf Cricket Club Ground,Ireland,Afghanistan,46.7,148,10,1,4,0,15,163,6,0,1,2,1,0,10
244,NA,403,2,Afghanistan,Dublin,5/7/2012,field,Afghanistan,Clontarf Cricket Club Ground,Ireland,Afghanistan,33.1,94,2,0,2,6,10,104,3,0,5,1,1,0,10
245,NA,404,1,New Zealand,Jamaica,5/7/2012,field,West Indies,"Sabina Park, Kingston",West Indies,New Zealand,49.6,177,10,1,1,1,13,190,4,0,3,2,0,0,9
246,NA,404,2,West Indies,Jamaica,5/7/2012,field,West Indies,"Sabina Park, Kingston",West Indies,New Zealand,24.2,128,2,0,0,6,8,136,1,0,0,0,0,0,1
247,NA,405,1,West Indies,Jamaica,7/7/2012,field,New Zealand,"Sabina Park, Kingston",West Indies,New Zealand,49.6,295,15,0,0,5,20,315,3,0,1,1,0,0,5
248,NA,405,2,New Zealand,Jamaica,7/7/2012,field,New Zealand,"Sabina Park, Kingston",West Indies,New Zealand,46.6,241,11,3,0,5,19,260,4,1,2,1,2,0,10
249,NA,406,1,New Zealand,St Kitts,11/7/2012,field,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,49.6,236,5,2,0,6,13,249,5,1,1,1,0,1,9
250,NA,406,2,West Indies,St Kitts,11/7/2012,field,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,34.3,156,1,1,0,3,5,161,4,1,0,2,3,0,10
251,NA,407,1,West Indies,St Kitts,14-07-2012,bat,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,49.5,238,20,1,0,5,26,264,7,0,1,2,0,0,10
252,NA,407,2,New Zealand,St Kitts,14-07-2012,bat,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,49.3,216,8,1,5,10,24,240,6,0,1,2,1,0,10
253,NA,408,1,West Indies,St Kitts,16-07-2012,bat,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,49.6,224,9,0,0,8,17,241,8,0,0,1,0,0,9
254,NA,408,2,New Zealand,St Kitts,16-07-2012,bat,West Indies,"Warner Park, Basseterre",West Indies,New Zealand,49.6,214,5,0,0,2,7,221,6,0,2,1,0,1,10
255,NA,409,1,Sri Lanka,,7/6/2012,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Pakistan,41.6,104,23,1,0,7,31,135,3,0,2,3,0,0,8
256,NA,409,2,Pakistan,,7/6/2012,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Pakistan,34.1,113,6,1,2,13,22,135,1,0,1,0,1,1,4
257,NA,410,1,Sri Lanka,,9/6/2012,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Pakistan,49.6,264,7,1,1,7,16,280,1,1,1,1,0,0,4
258,NA,410,2,Pakistan,,9/6/2012,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Pakistan,46.2,202,0,0,0,2,2,204,5,1,1,3,0,0,10
259,NA,411,1,Pakistan,Colombo,13-06-2012,bat,Pakistan,R Premadasa Stadium,Sri Lanka,Pakistan,6.2,12,0,0,0,0,0,12,1,0,0,1,0,0,2
260,NA,412,1,Sri Lanka,Colombo,16-06-2012,bat,Sri Lanka,R Premadasa Stadium,Sri Lanka,Pakistan,49.6,217,11,0,5,10,26,243,3,0,3,1,1,0,8
261,NA,412,2,Pakistan,Colombo,16-06-2012,bat,Sri Lanka,R Premadasa Stadium,Sri Lanka,Pakistan,44.6,176,14,0,0,9,23,199,8,0,0,1,1,0,10
262,NA,413,1,Pakistan,Colombo,18-06-2012,bat,Pakistan,R Premadasa Stadium,Sri Lanka,Pakistan,49.6,239,3,0,2,3,8,247,5,0,1,0,1,0,7
